f(Cortisol),g(Epinephrine),h(CRH),Arousal
3.92621,1.38657,4.15000,10.86886
3.92621,1.38657,4.15000,10.86886
3.93693,1.38668,4.14996,10.89864
3.93693,1.38668,4.14996,10.89864
3.94762,1.38679,4.15009,10.92872
3.94762,1.38679,4.15009,10.92872
3.95829,1.38690,4.15030,10.95889
3.95829,1.38690,4.15030,10.95889
3.96894,1.38701,4.15060,10.98917
3.96894,1.38701,4.15060,10.98917
3.97956,1.38712,4.15090,11.01941
3.97956,1.38712,4.15090,11.01941
3.99017,1.38722,4.15122,11.04962
3.99017,1.38722,4.15122,11.04962
4.00075,1.38733,4.15154,11.07979
4.00075,1.38733,4.15154,11.07979
4.01132,1.38744,4.15443,11.11507
4.01132,1.38744,4.15443,11.11507
4.02187,1.38754,4.15601,11.14771
4.02187,1.38754,4.15601,11.14771
4.03241,1.38765,4.15696,11.17905
4.03241,1.38765,4.15696,11.17905
4.04293,1.38775,4.15762,11.20975
4.04293,1.38775,4.15762,11.20975
4.05343,1.38786,4.15814,11.24015
4.05343,1.38786,4.15814,11.24015
4.06391,1.38796,4.15861,11.27037
4.06391,1.38796,4.15861,11.27037
4.07437,1.38807,4.15909,11.30055
4.07437,1.38807,4.15909,11.30055
4.08481,1.38817,4.15953,11.33062
4.08481,1.38817,4.15953,11.33062
4.09523,1.38827,4.15994,11.36056
4.09523,1.38827,4.15994,11.36056
4.10562,1.38837,4.16038,11.39052
4.10562,1.38837,4.16038,11.39052
4.11600,1.38848,4.16080,11.42038
4.11600,1.38848,4.16080,11.42038
4.12635,1.38858,4.16126,11.45025
4.12635,1.38858,4.16126,11.45025
4.13668,1.38868,4.16158,11.47979
4.13668,1.38868,4.16158,11.47979
4.14699,1.38878,4.16190,11.50929
4.14699,1.38878,4.16190,11.50929
4.15728,1.38888,4.16225,11.53876
4.15728,1.38888,4.16225,11.53876
4.16755,1.38898,4.16261,11.56821
4.16755,1.38898,4.16261,11.56821
4.17779,1.38908,4.16299,11.59764
4.17779,1.38908,4.16299,11.59764
4.18801,1.38918,4.16333,11.62694
4.18801,1.38918,4.16333,11.62694
4.19821,1.38927,4.16370,11.65625
4.19821,1.38927,4.16370,11.65625
4.20839,1.38937,4.16409,11.68553
4.20839,1.38937,4.16409,11.68553
4.21855,1.38947,4.16444,11.71468
4.21855,1.38947,4.16444,11.71468
4.22868,1.38957,4.16482,11.74382
4.22868,1.38957,4.16482,11.74382
4.23879,1.38967,4.16517,11.77287
4.23879,1.38967,4.16517,11.77287
4.24888,1.38976,4.16555,11.80190
4.24888,1.38976,4.16555,11.80190
4.25895,1.38986,4.16591,11.83082
4.25895,1.38986,4.16591,11.83082
4.26899,1.38996,4.16629,11.85973
4.26899,1.38996,4.16629,11.85973
4.27901,1.39005,4.16664,11.88854
4.27901,1.39005,4.16664,11.88854
4.28901,1.39015,4.16702,11.91733
4.28901,1.39015,4.16702,11.91733
4.29899,1.39024,4.16737,11.94601
4.29899,1.39024,4.16737,11.94601
4.30894,1.39034,4.16774,11.97468
4.30894,1.39034,4.16774,11.97468
4.31887,1.39043,4.16809,12.00324
4.31887,1.39043,4.16809,12.00324
4.32878,1.39053,4.16847,12.03179
4.32878,1.39053,4.16847,12.03179
4.33866,1.39062,4.16882,12.06023
4.33866,1.39062,4.16882,12.06023
4.34852,1.39072,4.16920,12.08867
4.34852,1.39072,4.16920,12.08867
4.35836,1.39081,4.16759,12.11273
4.35836,1.39081,4.16759,12.11273
4.36817,1.39090,4.16697,12.13883
4.36817,1.39090,4.16697,12.13883
